,index,chemicalFormula Clean,Band gap values Clean,Band gap units,Band gap method,Reliability
1202,1212,Ta1S2,0.1,eV,Thermal activation,1
1203,1213,W1O3,2.8,eV,,1
1206,1216,W1S2,1.1,eV,,1
1208,1218,W1Se2,1.35,eV,Absorption,1
1213,1223,W1Te2,0.05,eV,Thermal activation,1
1215,1225,Re1O3,2.3,eV,Reflection,1
1216,1226,Re1Si2,0.12,eV,Thermal activation,1
1217,1227,Re1S2,1.1,eV,Photoconduction,1
1218,1228,Re1Se2,0.99,eV,Thermal activation,1
1219,1229,Os1P2,1.2,eV,Reflection,1
1220,1230,Os1S2,2.0,eV,Reflection,1
1221,1231,Os1As2,0.9,eV,Reflection,1
1222,1232,Os1Sb2,0.2,eV,Thermal activation,1
1223,1233,Os1Te2,0.3,eV,Thermal activation,1
1224,1234,Ir1S2,0.9,eV,Absorption,1
1225,1235,Ir1Se2,1.0,eV,Absorption,1
1226,1236,Pt1O2,0.2,eV,Thermal activation,1
1227,1237,Pt1P2,0.8,eV,Thermal activation,1
1229,1239,Pt1S1,0.8,eV,Absorption,1
1230,1240,Pt1S2,0.75,eV,,1
1231,1241,Pt1As2,0.55,eV,Thermal activation,1
1233,1243,Pt1Se2,0.1,eV,,1
1234,1244,Pt1Sb2,0.11,eV,Absorption,1
1239,1250,Hg1O1,2.48,eV,Reflection,1
1243,1254,Hg1S1,1.2690000000000001,eV,Absorption,1
1250,1261,Hg2Cl2,3.5,eV,Reflection,1
1254,1265,Hg1Se1,0.24,eV,Magnetoreflection,1
1258,1269,Hg2Br2,2.6,eV,Absorption,1
1259,1270,Hg1Br2,3.59,eV,Absorption,1
1260,1271,Hg1Te1,0.175,eV,Thermal activation,1
1266,1277,Hg1I2,2.13,eV,Reflection,1
1280,1291,Tl1N3,3.58,eV,Absorption,1
1281,1292,Tl2O3,1.825,eV,Absorption,1
1283,1294,Tl1S1,1.36,eV,Reflection,1
1287,1298,Tl1Cl1,3.56,eV,Absorption,1
1291,1302,Tl1Se1,0.73,eV,Absorption,1
1298,1309,Tl1Br1,3.05,eV,Reflection,1
1302,1313,Tl2Te3,0.7,eV,Absorption,1
1303,1314,Tl2Te1,0.5,eV,Thermal activation,1
1307,1318,Tl1I1,2.67,eV,Absorption,1
1309,1320,Pb1N6,3.02,eV,Absorption,1
1311,1322,Pb1O1,2.512,eV,Absorption,1
1314,1325,Pb2O3,1.67,eV,Absorption,1
1315,1326,Pb1O2,1.85,eV,,1
1317,1328,Pb3O4,2.12,eV,Absorption,1
1331,1342,Pb1S1,0.41,eV,Reflection,1
1341,1352,Pb1Cl2,3.82,eV,Absorption,1
1344,1355,Pb1Se1,0.27,eV,Reflection,1
1356,1367,Pb1Br2,3.2,eV,Absorption,1
1360,1371,Pb1Te1,0.31,eV,Reflection,1
1374,1385,Pb1I2,2.32,eV,Absorption,1
1380,1391,Bi2O3,2.755,eV,Absorption,1
1389,1401,Bi2S3,1.2,eV,Absorption,1
1394,1406,Bi2Se3,0.21,eV,Absorption,1
1399,1411,Bi1Br3,2.66,eV,Absorption,1
1416,1428,Bi2Te3,0.145,eV,Absorption,1
1425,1437,Bi1I3,1.9625,eV,Absorption,1
1433,1445,Bi,0.015,eV,Magnetoreflection,1
1436,1448,Th1O2,4.625,eV,,1
1443,1455,UO,1.5,eV,Thermal activation,1
1444,1456,U1O2,2.18,eV,Absorption,1
